Name,Code,"Changes (-1 means terminus, 2 means 2+ changes, NaN means error or no connections possible)"
Fareham,FRM,2.0
Farnborough (Main),FNB,2.0
Farnborough North,FNN,2.0
Farncombe,FNC,2.0
Farnham,FNH,2.0
Farningham Road,FNR,2.0
Farnworth,FNW,1.0
Farringdon,ZFD,2.0
Fauldhouse,FLD,1.0
Faversham,FAV,2.0
Faygate,FGT,2.0
Fazakerley,FAZ,2.0
Fearn,FRN,2.0
Featherstone,FEA,1.0
Felixstowe,FLX,2.0
Feltham,FEL,2.0
Feniton,FNT,2.0
Fenny Stratford,FEN,2.0
Fernhill,FER,2.0
Ferriby,FRY,1.0
Ferryside,FYS,1.0
Ffairfach,FFA,1.0
Filey,FIL,2.0
Filton Abbey Wood,FIT,1.0
Finchley Road & Frognal,FNY,2.0
Finsbury Park,FPK,1.0
Finstock,FIN,2.0
Fishbourne (Sussex),FSB,2.0
Fishersgate,FSG,2.0
Fishguard & Goodwick,FGW,1.0
Fishguard Harbour,FGH,1.0
Fiskerton,FSK,2.0
Fitzwilliam,FZW,1.0
Five Ways,FWY,1.0
Fleet,FLE,2.0
Flimby,FLM,0.0
Flint,FLN,1.0
Flitwick,FLT,2.0
Flixton,FLI,1.0
Flowery Field,FLF,1.0
Folkestone Central,FKC,2.0
Folkestone West,FKW,2.0
Ford,FOD,2.0
Forest Gate,FOG,2.0
Forest Hill,FOH,2.0
Formby,FBY,2.0
Forres,FOR,1.0
Forsinard,FRS,2.0
Fort Matilda,FTM,1.0
Fort William,FTW,2.0
Four Oaks,FOK,1.0
Foxfield,FOX,0.0
Foxton,FXN,2.0
Frant,FRT,2.0
Fratton,FTN,2.0
Freshfield,FRE,2.0
Freshford,FFD,2.0
Frimley,FML,2.0
Frinton-on-Sea,FRI,2.0
Frizinghall,FZH,1.0
Frodsham,FRD,1.0
Frome,FRO,2.0
Fulwell,FLW,2.0
Furness Vale,FNV,1.0
Furze Platt,FZP,2.0
Gainsborough Central,GNB,2.0
Gainsborough Lea Road,GBL,2.0
Galashiels,GAL,1.0
Garelochhead,GCH,2.0
